# Pong Object Coordinates - Level pong-0
# Format: frame_number,image_file,object_type,x,y,width,height,center_x,center_y

# Frame 0, Action: fire, Step: 0
0,frame_000000.png,player_paddle,142,103,10,30,142,103
0,frame_000000.png,score_left,42,11,8,8,42,11
0,frame_000000.png,score_right,122,11,8,8,122,11
# Frame 1, Action: fire, Step: 1
1,frame_000001.png,player_paddle,142,103,10,30,142,103
1,frame_000001.png,score_left,42,11,8,8,42,11
1,frame_000001.png,score_right,122,11,8,8,122,11
# Frame 2, Action: fire, Step: 2
2,frame_000002.png,player_paddle,142,103,10,30,142,103
2,frame_000002.png,score_left,42,11,8,8,42,11
2,frame_000002.png,score_right,122,11,8,8,122,11
# Frame 3, Action: fire, Step: 3
3,frame_000003.png,player_paddle,142,103,10,30,142,103
3,frame_000003.png,score_left,42,11,8,8,42,11
3,frame_000003.png,score_right,122,11,8,8,122,11
# Frame 4, Action: fire, Step: 4
4,frame_000004.png,player_paddle,142,103,10,30,142,103
4,frame_000004.png,score_left,42,11,8,8,42,11
4,frame_000004.png,score_right,122,11,8,8,122,11
# Frame 5, Action: fire, Step: 5
5,frame_000005.png,player_paddle,142,103,10,30,142,103
5,frame_000005.png,score_left,42,11,8,8,42,11
5,frame_000005.png,score_right,122,11,8,8,122,11
# Frame 6, Action: fire, Step: 6
6,frame_000006.png,player_paddle,142,103,10,30,142,103
6,frame_000006.png,score_left,42,11,8,8,42,11
6,frame_000006.png,score_right,122,11,8,8,122,11
# Frame 7, Action: fire, Step: 7
7,frame_000007.png,player_paddle,142,103,10,30,142,103
7,frame_000007.png,score_left,42,11,8,8,42,11
7,frame_000007.png,score_right,122,11,8,8,122,11
# Frame 8, Action: fire, Step: 8
8,frame_000008.png,player_paddle,142,103,10,30,142,103
8,frame_000008.png,score_left,42,11,8,8,42,11
8,frame_000008.png,score_right,122,11,8,8,122,11
# Frame 9, Action: fire, Step: 9
9,frame_000009.png,player_paddle,142,103,10,30,142,103
9,frame_000009.png,score_left,42,11,8,8,42,11
9,frame_000009.png,score_right,122,11,8,8,122,11
